iteration,before,after,diff
265,650616028,650616047,19
266,650616249,650616267,18
267,650616468,650616488,20
268,650616691,650616710,19
269,650616913,650616930,17
270,650617132,650617150,18
271,650617354,650617372,18
272,650617572,650617592,20
273,650617791,650617810,19
274,650618014,650618033,19
275,650618234,650618254,20
276,650618456,650618475,19
277,650618677,650618697,20
278,650618898,650618916,18
279,650619116,650619135,19
280,650619339,650619358,19
281,650619559,650619579,20
282,650619792,650619810,18
283,650620011,650620030,19
284,650620231,650620250,19
285,650620454,650620472,18
286,650620677,650620695,18
287,650620897,650620917,20
288,650621117,650621137,20
289,650621337,650621356,19
290,650621559,650621577,18
291,650621799,650621818,19
292,650622023,650622041,18
293,650622242,650622260,18
294,650622463,650622482,19
295,650622684,650622703,19
296,650622904,650622922,18
297,650623123,650623141,18
298,650623344,650623362,18
299,650623565,650623583,18
300,650623784,650623803,19
301,650624007,650624026,19
302,650624229,650624247,18
303,650624451,650624470,19
304,650624674,650624692,18
305,650624897,650624915,18
306,650625117,650625135,18
307,650631640,650631667,27
308,650631888,650631906,18
309,650632116,650632135,19
310,650632339,650632359,20
311,650632563,650632582,19
312,650632790,650632809,19
313,650633015,650633033,18
314,650633235,650633253,18
315,650633455,650633474,19
316,650633676,650633695,19
317,650633897,650633918,21
318,650634120,650634138,18
319,650634340,650634359,19
320,650634562,650634580,18
321,650634781,650634800,19
322,650635002,650635022,20
323,650635222,650635242,20
324,650635444,650635462,18
325,650635665,650635684,19
326,650635884,650635904,20
327,650636107,650636125,18
328,650636327,650636347,20
329,650636550,650636569,19
330,650636774,650636792,18
331,650636996,650637015,19
332,650637219,650637237,18
333,650637441,650637459,18
334,650637662,650637680,18
335,650637883,650637901,18
336,650638103,650638122,19
337,650638325,650638343,18
338,650638547,650638564,17
339,650638769,650638787,18
340,650638990,650639009,19
341,650639212,650639230,18
342,650639432,650639451,19
343,650639652,650639672,20
344,650639872,650639891,19
345,650640093,650640112,19
346,650640315,650640335,20
347,650640535,650640555,20
348,650640756,650640774,18
349,650640977,650640994,17
350,650641197,650641215,18
351,650641416,650641435,19
352,650641638,650641656,18
353,650641859,650641879,20
354,650642081,650642100,19
355,650642302,650642321,19
356,650642522,650642541,19
357,650642743,650642762,19
358,650642963,650642981,18
359,650643183,650643203,20
360,650643407,650643426,19
361,650643630,650643648,18
362,650643851,650643870,19
363,650644074,650644093,19
364,650644293,650644312,19
365,650644513,650644532,19
366,650644735,650644755,20
367,650644956,650644975,19
368,650645177,650645196,19
369,650645397,650645416,19
370,650645617,650645636,19
371,650645839,650645857,18
372,650646058,650646078,20
373,650646279,650646298,19
374,650646502,650646521,19
375,650646722,650646741,19
376,650646942,650646962,20
377,650647164,650647182,18
378,650647385,650647405,20
379,650647608,650647626,18
380,650647831,650647849,18
381,650648050,650648069,19
382,650648272,650648290,18
383,650648493,650648512,19
384,650648716,650648735,19
385,650648936,650648955,19
386,650649158,650649176,18
387,650649379,650649398,19
388,650649601,650649620,19
389,650649823,650649841,18
390,650650043,650650061,18
391,650650264,650650283,19
392,650650486,650650504,18
393,650650712,650650730,18
394,650650950,650650968,18
395,650651168,650651186,18
396,650651389,650651407,18
397,650651610,650651628,18
398,650651830,650651849,19
399,650652051,650652070,19
400,650652271,650652290,19
401,650652494,650652511,17
402,650652713,650652731,18
403,650652933,650652950,17
404,650653153,650653171,18
405,650653373,650653393,20
406,650653594,650653612,18
407,650653815,650653833,18
408,650654035,650654053,18
409,650654255,650654273,18
410,650654476,650654494,18
411,650654697,650654714,17
412,650654917,650654935,18
413,650655137,650655157,20
414,650655358,650655377,19
415,650655577,650655596,19
416,650655798,650655817,19
417,650656020,650656039,19
418,650656241,650656261,20
419,650656462,650656481,19
420,650656682,650656701,19
421,650656902,650656921,19
422,650657124,650657143,19
423,650657347,650657367,20
424,650657572,650657590,18
425,650657793,650657812,19
426,650658014,650658033,19
427,650658236,650658255,19
428,650658460,650658479,19
429,650658679,650658698,19
430,650658900,650658918,18
431,650659120,650659139,19
432,650659340,650659358,18
433,650659564,650659583,19
434,650659804,650659824,20
435,650660027,650660047,20
436,650660249,650660267,18
437,650660470,650660490,20
438,650660691,650660709,18
439,650660912,650660931,19
440,650661135,650661154,19
441,650661358,650661377,19
442,650661580,650661599,19
443,650661801,650661821,20
444,650662023,650662040,17
445,650662243,650662261,18
446,650662465,650662485,20
447,650662686,650662706,20
448,650662907,650662925,18
449,650663127,650663146,19
450,650663350,650663369,19
451,650663572,650663591,19
452,650663793,650663812,19
453,650664013,650664032,19
454,650664234,650664252,18
455,650664456,650664474,18
456,650664677,650664696,19
457,650664899,650664917,18
458,650665124,650665143,19
459,650669628,650669654,26
460,650669881,650669900,19
461,650670104,650670121,17
462,650670325,650670344,19
463,650670549,650670568,19
464,650670773,650670791,18
465,650670994,650671013,19
466,650671215,650671233,18
467,650671436,650671456,20
468,650671658,650671676,18
469,650671880,650671899,19
470,650672099,650672118,19
471,650672320,650672338,18
472,650672544,650672561,17
473,650672764,650672783,19
474,650672984,650673004,20
475,650673205,650673223,18
476,650673425,650673443,18
477,650673646,650673665,19
478,650673867,650673886,19
479,650674087,650674105,18
480,650674308,650674326,18
481,650674532,650674550,18
482,650674760,650674778,18
483,650674981,650675000,19
484,650675202,650675221,19
485,650675423,650675442,19
486,650675644,650675663,19
487,650675863,650675883,20
488,650676086,650676104,18
489,650676306,650676325,19
490,650676528,650676545,17
491,650676747,650676765,18
492,650676970,650676988,18
493,650677191,650677209,18
494,650677411,650677430,19
495,650677633,650677652,19
496,650677854,650677873,19
497,650678075,650678093,18
498,650678296,650678315,19
499,650678516,650678535,19
500,650678739,650678757,18
501,650678958,650678977,19
502,650679179,650679198,19
503,650679398,650679418,20
504,650679621,650679639,18
505,650679840,650679859,19
506,650680063,650680080,17
507,650680284,650680303,19
508,650680506,650680523,17
509,650680726,650680744,18
510,650680949,650680966,17
511,650681168,650681188,20
512,650681388,650681407,19
513,650681611,650681628,17
514,650681832,650681851,19
515,650682054,650682073,19
516,650682275,650682294,19
517,650682496,650682515,19
518,650682719,650682738,19
519,650682942,650682961,19
520,650683162,650683182,20
521,650683384,650683403,19
522,650683604,650683623,19
523,650683824,650683843,19
524,650684048,650684067,19
525,650684268,650684287,19
526,650684490,650684507,17
527,650684711,650684729,18
528,650684932,650684951,19
529,650685152,650685171,19
530,650685373,650685392,19
531,650685593,650685612,19
532,650685815,650685834,19
533,650686038,650686057,19
534,650686260,650686279,19
535,650686482,650686501,19
536,650686704,650686723,19
537,650686925,650686945,20
538,650687146,650687166,20
539,650687367,650687386,19
540,650687590,650687609,19
541,650687812,650687829,17
542,650688032,650688052,20
543,650688256,650688275,19
544,650688477,650688495,18
545,650688696,650688714,18
546,650688917,650688937,20
547,650689140,650689158,18
548,650689383,650689401,18
549,650689603,650689621,18
550,650689823,650689841,18
551,650690046,650690064,18
552,650690266,650690285,19
553,650690489,650690506,17
554,650690710,650690730,20
555,650690932,650690952,20
556,650691153,650691172,19
557,650691375,650691394,19
558,650691597,650691616,19
559,650691817,650691835,18
560,650692040,650692059,19
561,650692266,650692284,18
562,650692486,650692505,19
563,650692707,650692726,19
564,650692929,650692948,19
565,650693152,650693171,19
566,650693374,650693392,18
567,650693594,650693614,20
568,650693818,650693838,20
569,650694041,650694060,19
570,650694263,650694280,17
571,650694485,650694504,19
572,650694705,650694723,18
573,650694928,650694946,18
574,650695148,650695166,18
575,650695370,650695389,19
576,650695592,650695610,18
577,650695813,650695832,19
578,650696034,650696054,20
579,650696261,650696280,19
580,650696484,650696504,20
581,650696707,650696725,18
582,650696929,650696948,19
583,650697149,650697169,20
584,650697373,650697393,20
585,650697601,650697621,20
586,650697824,650697842,18
587,650698045,650698064,19
588,650698271,650698289,18
589,650698492,650698511,19
590,650698714,650698732,18
591,650698935,650698954,19
592,650699156,650699175,19
593,650699378,650699397,19
594,650699600,650699619,19
595,650699820,650699839,19
596,650700042,650700060,18
597,650700263,650700282,19
598,650700485,650700503,18
599,650700705,650700724,19
600,650700928,650700947,19
601,650701149,650701168,19
602,650701370,650701388,18
