iteration,before,after,diff
245,579911393,579912980,1587
246,579913199,579914779,1580
247,579914999,579916577,1578
248,579916796,579918370,1574
249,579918586,579922814,4228
250,579923062,579924646,1584
251,579924869,579926438,1569
252,579926655,579928226,1571
253,579928442,579930004,1562
254,579930221,579931791,1570
255,579932008,579933574,1566
256,579933791,579935359,1568
257,579935576,579937146,1570
258,579937363,579938937,1574
259,579939154,579940729,1575
260,579940945,579942521,1576
261,579942739,579944311,1572
262,579944528,579946098,1570
263,579946314,579947885,1571
264,579948102,579949681,1579
265,579949897,579951466,1569
266,579951685,579953256,1571
267,579953472,579955043,1571
268,579955260,579956827,1567
269,579957045,579958792,1747
270,579959008,579960576,1568
271,579960793,579962363,1570
272,579962577,579964150,1573
273,579964368,579965938,1570
274,579966156,579967726,1570
275,579967944,579969513,1569
276,579969731,579971639,1908
277,579971857,579973433,1576
278,579973650,579975227,1577
279,579975447,579977013,1566
280,579977231,579978807,1576
281,579979023,579980601,1578
282,579980817,579982388,1571
283,579982605,579984174,1569
284,579984391,579985961,1570
285,579986177,579987743,1566
286,579994001,579995789,1788
287,580015956,580020540,4584
288,580021503,580023754,2251
289,580024569,580029000,4431
290,580029766,580032339,2573
291,580032623,580034272,1649
292,580034489,580041093,6604
293,580041387,580042993,1606
294,580043213,580044794,1581
295,580045009,580046591,1582
296,580046807,580048385,1578
297,580048602,580050180,1578
298,580050397,580051965,1568
299,580052184,580053757,1573
300,580053979,580055546,1567
301,580055766,580057329,1563
302,580057545,580059111,1566
303,580059332,580060971,1639
304,580061192,580062764,1572
305,580062983,580064554,1571
306,580064777,580066355,1578
307,580066576,580068152,1576
308,580068368,580069945,1577
309,580070164,580071730,1566
310,580071949,580073523,1574
311,580073743,580075320,1577
312,580075538,580077107,1569
313,580077327,580078903,1576
314,580079120,580080695,1575
315,580080911,580082482,1571
316,580082699,580084268,1569
317,580084492,580086063,1571
318,580086280,580087852,1572
319,580088066,580089631,1565
320,580089847,580091419,1572
321,580091640,580093211,1571
322,580093427,580094994,1567
323,580095212,580096784,1572
324,580096999,580098577,1578
325,580098802,580100371,1569
326,580100593,580102166,1573
327,580102385,580103956,1571
328,580104172,580105753,1581
329,580105972,580107547,1575
330,580107767,580109341,1574
331,580109559,580111136,1577
332,580111353,580112924,1571
333,580113140,580114721,1581
334,580114940,580116568,1628
335,580116790,580120909,4119
336,580121161,580122746,1585
337,580122964,580124532,1568
338,580124747,580126321,1574
339,580126538,580128109,1571
340,580128325,580129899,1574
341,580130116,580131687,1571
342,580131905,580133476,1571
343,580133692,580135260,1568
344,580135479,580137052,1573
345,580137270,580138838,1568
346,580139055,580140628,1573
347,580140848,580142420,1572
348,580142639,580144211,1572
349,580144427,580145992,1565
350,580146209,580147775,1566
351,580147991,580149558,1567
352,580149775,580151339,1564
353,580151557,580153125,1568
354,580153344,580154908,1564
355,580155126,580156697,1571
356,580156913,580158480,1567
357,580158699,580160264,1565
358,580160484,580162050,1566
359,580162266,580163844,1578
360,580164062,580165630,1568
361,580165851,580167427,1576
362,580167649,580169224,1575
363,580169443,580171012,1569
364,580171232,580172805,1573
365,580173023,580174591,1568
366,580174808,580176379,1571
367,580176597,580178169,1572
368,580178386,580179958,1572
369,580180174,580181745,1571
370,580181962,580183523,1561
371,580183743,580185308,1565
372,580185528,580187097,1569
373,580187312,580188880,1568
374,580189096,580190670,1574
375,580190885,580192459,1574
376,580192675,580194249,1574
377,580194464,580201141,6677
378,580201394,580202991,1597
379,580203212,580204793,1581
380,580205014,580206586,1572
381,580206804,580208369,1565
382,580208591,580210163,1572
383,580210383,580211950,1567
384,580212168,580213738,1570
385,580213954,580215521,1567
386,580215741,580217316,1575
387,580217533,580219104,1571
388,580219320,580220886,1566
389,580221105,580222673,1568
390,580222892,580224464,1572
391,580224681,580226249,1568
392,580226470,580228040,1570
393,580228258,580229824,1566
394,580230040,580231617,1577
395,580231837,580233410,1573
396,580233628,580235201,1573
397,580235418,580236989,1571
398,580237209,580238780,1571
399,580239003,580240578,1575
400,580240796,580242371,1575
401,580242590,580244161,1571
402,580244377,580245943,1566
403,580246161,580247728,1567
404,580248013,580249581,1568
405,580249800,580251370,1570
406,580251591,580253164,1573
407,580253383,580254944,1561
408,580255165,580256737,1572
409,580256956,580258522,1566
410,580258740,580260313,1573
411,580260530,580262110,1580
412,580262328,580263904,1576
413,580264120,580265699,1579
414,580265917,580267490,1573
415,580267707,580269275,1568
416,580269491,580271064,1573
417,580271282,580272852,1570
418,580273070,580274638,1568
419,580274855,580276468,1613
420,580276686,580281690,5004
421,580281962,580283550,1588
422,580283767,580285343,1576
423,580285558,580287129,1571
424,580287350,580288927,1577
425,580289145,580290715,1570
426,580290935,580292511,1576
427,580355092,580356966,1874
428,580357278,580358966,1688
429,580359183,580360767,1584
430,580360991,580362563,1572
431,580362780,580364350,1570
432,580364570,580366147,1577
433,580366364,580367935,1571
434,580368156,580369724,1568
435,580369944,580371511,1567
436,580371728,580373303,1575
437,580373523,580375091,1568
438,580375310,580376877,1567
439,580377101,580378669,1568
440,580378884,580380451,1567
441,580380667,580382235,1568
442,580382452,580384023,1571
443,580384242,580385809,1567
444,580386028,580387600,1572
445,580387818,580389390,1572
446,580389607,580391181,1574
447,580391400,580392977,1577
448,580393199,580394775,1576
449,580394993,580396565,1572
450,580396782,580398363,1581
451,580398581,580400153,1572
452,580400370,580401935,1565
453,580402151,580403723,1572
454,580403939,580405509,1570
455,580405724,580407289,1565
456,580407505,580409072,1567
457,580409286,580410849,1563
458,580411065,580412637,1572
459,580412854,580414424,1570
460,580414643,580416213,1570
461,580416430,580418008,1578
462,580418226,580419954,1728
463,580420175,580424803,4628
464,580425069,580426664,1595
465,580426884,580428462,1578
466,580428682,580430259,1577
467,580430474,580432051,1577
468,580432268,580433842,1574
469,580434059,580435634,1575
470,580435851,580437422,1571
471,580437639,580439208,1569
472,580439425,580440998,1573
473,580441216,580442785,1569
474,580443001,580444569,1568
475,580444785,580446350,1565
476,580446570,580448141,1571
477,580448361,580449936,1575
478,580450154,580451724,1570
479,580451942,580453520,1578
480,580453737,580455312,1575
481,580455531,580457109,1578
482,580457329,580458908,1579
483,580459129,580460701,1572
484,580460922,580462493,1571
485,580462711,580464282,1571
486,580464500,580466071,1571
487,580466287,580467858,1571
488,580468081,580469653,1572
489,580469874,580471447,1573
490,580471662,580473231,1569
491,580473451,580475022,1571
492,580475243,580476809,1566
493,580477030,580478599,1569
494,580478820,580480391,1571
495,580480610,580482183,1573
496,580482401,580483977,1576
497,580484194,580485769,1575
498,580485987,580487568,1581
499,580487789,580489380,1591
500,580489599,580491186,1587
501,580491404,580492981,1577
502,580493202,580494773,1571
503,580494990,580496565,1575
504,580496786,580498359,1573
505,580498579,580504662,6083
506,580504911,580506491,1580
507,580506712,580508287,1575
508,580508505,580510078,1573
509,580510299,580511869,1570
510,580512092,580513659,1567
511,580513879,580515451,1572
512,580515670,580517241,1571
513,580517461,580519035,1574
514,580519252,580520828,1576
515,580521047,580522618,1571
516,580522839,580524413,1574
517,580524629,580526200,1571
518,580526420,580527992,1572
519,580528210,580529781,1571
520,580529999,580531564,1565
521,580531784,580533352,1568
522,580533567,580535138,1571
523,580535358,580536927,1569
524,580537144,580538715,1571
525,580538932,580540498,1566
526,580540715,580542281,1566
527,580542503,580544072,1569
528,580544289,580545866,1577
529,580546082,580547652,1570
530,580547870,580549449,1579
531,580549669,580551240,1571
532,580551458,580553031,1573
533,580553249,580554819,1570
534,580555039,580556607,1568
535,580556825,580558395,1570
536,580558611,580560180,1569
537,580560396,580561960,1564
538,580562176,580563745,1569
539,580563961,580565532,1571
540,580565749,580567321,1572
541,580567540,580569111,1571
542,580569327,580570892,1565
543,580571111,580572691,1580
544,580572910,580574482,1572
545,580574715,580576293,1578
546,580576508,580578081,1573
547,580578299,580579919,1620
548,580580135,580584276,4141
549,580584528,580586124,1596
550,580586349,580587926,1577
551,580588142,580589725,1583
552,580589940,580591525,1585
553,580591743,580593314,1571
554,580593531,580595108,1577
555,580595323,580596897,1574
556,580597112,580598679,1567
557,580598896,580600465,1569
558,580600684,580602248,1564
559,580602464,580604033,1569
560,580604250,580605820,1570
561,580606036,580607609,1573
562,580607827,580609402,1575
563,580609619,580611239,1620
564,580611462,580613037,1575
565,580613254,580614828,1574
566,580615048,580616618,1570
567,580616835,580618417,1582
568,580625174,580626963,1789
569,580627223,580628805,1582
570,580629026,580630604,1578
571,580630820,580632392,1572
572,580632607,580634176,1569
573,580634392,580635957,1565
574,580636175,580637745,1570
575,580637960,580639529,1569
576,580639747,580641338,1591
577,580641555,580643131,1576
578,580643348,580644924,1576
579,580645141,580646713,1572
580,580646933,580648509,1576
581,580648736,580650308,1572
582,580650528,580652110,1582
583,580652332,580653906,1574
584,580654124,580655698,1574
585,580655919,580657492,1573
586,580657709,580659282,1573
587,580659502,580661078,1576
588,580661298,580662874,1576
589,580663097,580664683,1586
590,580664901,580666553,1652
591,580666778,580671105,4327
592,580671359,580672948,1589
593,580673174,580674931,1757
594,580675148,580676842,1694
595,580677061,580679517,2456
596,580679738,580682172,2434
