iteration,before,after,diff
245,583262131,583263186,1055
246,583263403,583264458,1055
247,583264674,583265730,1056
248,583265947,583267007,1060
249,583267223,583268283,1060
250,583268500,583269559,1059
251,583269776,583270837,1061
252,583271054,583272117,1063
253,583272334,583273394,1060
254,583273611,583274668,1057
255,583274885,583275950,1065
256,583276167,583277227,1060
257,583277444,583278499,1055
258,583278716,583279774,1058
259,583279989,583281047,1058
260,583281263,583282318,1055
261,583282535,583283589,1054
262,583283806,583284863,1057
263,583285078,583286134,1056
264,583286349,583287405,1056
265,583287621,583288677,1056
266,583288894,583289950,1056
267,583290165,583291223,1058
268,583291438,583292494,1056
269,583292709,583293764,1055
270,583293979,583295035,1056
271,583295250,583296307,1057
272,583296524,583297584,1060
273,583297801,583298859,1058
274,583299076,583300134,1058
275,583300349,583301406,1057
276,583301624,583302682,1058
277,583302900,583303959,1059
278,583304176,583305233,1057
279,583305450,583306508,1058
280,583306725,583307784,1059
281,583308000,583309058,1058
282,583309280,583310336,1056
283,583310553,583311614,1061
284,583311830,583312887,1057
285,583313104,583314164,1060
286,583320016,583321100,1084
287,583321345,583322399,1054
288,583322616,583323671,1055
289,583323892,583324946,1054
290,583325164,583326218,1054
291,583326436,583327492,1056
292,583327711,583328766,1055
293,583328983,583330038,1055
294,583330256,583331317,1061
295,583331537,583332595,1058
296,583332814,583333871,1057
297,583334090,583335150,1060
298,583335367,583336424,1057
299,583336643,583337701,1058
300,583337918,583338981,1063
301,583339198,583340262,1064
302,583340479,583341540,1061
303,583341757,583342817,1060
304,583343034,583344095,1061
305,583344312,583345372,1060
306,583345589,583346650,1061
307,583346866,583347925,1059
308,583348141,583349196,1055
309,583349412,583350471,1059
310,583350692,583351749,1057
311,583351966,583353018,1052
312,583353237,583354291,1054
313,583354507,583355566,1059
314,583355784,583356843,1059
315,583357061,583358117,1056
316,583358337,583359395,1058
317,583359612,583360666,1054
318,583360882,583361940,1058
319,583362156,583363213,1057
320,583363430,583364488,1058
321,583364707,583365770,1063
322,583365987,583367041,1054
323,583367259,583368317,1058
324,583368534,583369595,1061
325,583369813,583370875,1062
326,583371092,583372153,1061
327,583372369,583373430,1061
328,583373646,583374701,1055
329,583374917,583375979,1062
330,583376195,583377256,1061
331,583377472,583378534,1062
332,583378750,583379805,1055
333,583380021,583381075,1054
334,583381291,583382348,1057
335,583382565,583383620,1055
336,583383835,583384894,1059
337,583385110,583386170,1060
338,583386387,583387442,1055
339,583387658,583388713,1055
340,583388929,583389985,1056
341,583390204,583391256,1052
342,583391473,583392527,1054
343,583392745,583393803,1058
344,583394021,583395079,1058
345,583395294,583396351,1057
346,583396569,583397628,1059
347,583397845,583398902,1057
348,583399120,583400177,1057
349,583400396,583401454,1058
350,583401671,583402727,1056
351,583402944,583404013,1069
352,583404231,583405290,1059
353,583405508,583406570,1062
354,583406787,583407844,1057
355,583408060,583409117,1057
356,583409334,583410390,1056
357,583410608,583411666,1058
358,583411882,583412939,1057
359,583413157,583414212,1055
360,583414427,583415485,1058
361,583415703,583416762,1059
362,583416977,583418029,1052
363,583418244,583419304,1060
364,583419522,583420579,1057
365,583420796,583421849,1053
366,583422066,583423118,1052
367,583423337,583424394,1057
368,583424611,583425668,1057
369,583425884,583426940,1056
370,583427159,583428216,1057
371,583428433,583429491,1058
372,583429708,583430767,1059
373,583430985,583432043,1058
374,583432260,583433317,1057
375,583433533,583434596,1063
376,583434815,583435876,1061
377,583436093,583437156,1063
378,583437373,583438431,1058
