iteration,before,after,diff
929,577750986,577751018,32, 0
930,577751255,577751287,32, 0
931,577751524,577751555,31, 0
932,577751793,577751826,33, 0
933,577752062,577752095,33, 0
934,577752331,577752364,33, 0
935,577752598,577752632,34, 0
936,577752869,577752901,32, 0
937,577753136,577753168,32, 0
938,577753405,577753437,32, 0
939,577753673,577753707,34, 0
940,577753943,577753976,33, 0
941,577754212,577754244,32, 0
942,577754483,577754515,32, 0
943,577754750,577754783,33, 0
944,577755019,577755051,32, 0
945,577755305,577755337,32, 0
946,577755591,577755625,34, 0
947,577755885,577755918,33, 0
948,577756155,577756187,32, 0
949,577756427,577756458,31, 0
950,577756695,577756727,32, 0
951,577756964,577756996,32, 0
952,577757232,577757266,34, 0
953,577757500,577757533,33, 0
954,577757769,577757800,31, 0
955,577758036,577758070,34, 0
956,577758306,577758337,31, 0
957,577758573,577758606,33, 0
958,577758842,577758875,33, 0
959,577764251,577764291,40, 0
960,577764541,577764572,31, 0
961,577764819,577764851,32, 0
962,577765094,577765126,32, 0
963,577765367,577765400,33, 0
964,577765638,577765672,34, 0
965,577765907,577765939,32, 0
966,577766178,577766209,31, 0
967,577766445,577766478,33, 0
968,577766715,577766747,32, 0
969,577766984,577767016,32, 0
970,577767254,577767287,33, 0
971,577767523,577767556,33, 0
972,577767791,577767824,33, 0
973,577768063,577768095,32, 0
974,577768333,577768365,32, 0
975,577768601,577768635,34, 0
976,577768871,577768904,33, 0
977,577769142,577769174,32, 0
978,577769412,577769445,33, 0
979,577769682,577769714,32, 0
980,577769953,577769986,33, 0
981,577770223,577770256,33, 0
982,577770493,577770526,33, 0
983,577770765,577770798,33, 0
984,577771034,577771067,33, 0
985,577771303,577771335,32, 0
986,577771574,577771606,32, 0
987,577771845,577771877,32, 0
988,577772114,577772146,32, 0
989,577772384,577772416,32, 0
990,577772653,577772685,32, 0
991,577772921,577772954,33, 0
992,577773189,577773221,32, 0
993,577773458,577773491,33, 0
994,577773728,577773759,31, 0
995,577773996,577774029,33, 0
996,577774267,577774299,32, 0
997,577774535,577774567,32, 0
998,577774804,577774836,32, 0
999,577775072,577775104,32, 0
