iteration,before,after,diff
212,577529883,577529916,33, 0
213,577530151,577530184,33, 0
214,577530437,577530469,32, 0
215,577530705,577530737,32, 0
216,577530972,577531005,33, 0
217,577531243,577531275,32, 0
218,577531511,577531544,33, 0
219,577531781,577531814,33, 0
220,577532050,577532083,33, 0
221,577532320,577532353,33, 0
222,577532591,577532622,31, 0
223,577532858,577532892,34, 0
224,577533127,577533159,32, 0
225,577533396,577533427,31, 0
226,577533664,577533697,33, 0
227,577533934,577533967,33, 0
228,577534201,577534234,33, 0
229,577534470,577534503,33, 0
230,577534739,577534772,33, 0
231,577535008,577535041,33, 0
232,577535278,577535311,33, 0
233,577535547,577535579,32, 0
234,577535815,577535849,34, 0
235,577536087,577536119,32, 0
236,577536356,577536389,33, 0
237,577536625,577536657,32, 0
238,577536894,577536925,31, 0
239,577537161,577537194,33, 0
240,577537431,577537464,33, 0
241,577537701,577537732,31, 0
242,577537970,577538002,32, 0
243,577538239,577538272,33, 0
244,577538509,577538541,32, 0
245,577538777,577538810,33, 0
246,577539046,577539080,34, 0
247,577539316,577539349,33, 0
248,577539584,577539618,34, 0
249,577539854,577539887,33, 0
250,577540124,577540158,34, 0
251,577540393,577540426,33, 0
252,577540665,577540697,32, 0
253,577540935,577540967,32, 0
254,577541221,577541253,32, 0
255,577541490,577541523,33, 0
256,577541759,577541791,32, 0
257,577542028,577542060,32, 0
258,577542314,577542346,32, 0
259,577542584,577542617,33, 0
260,577542854,577542886,32, 0
261,577543122,577543156,34, 0
262,577543392,577543424,32, 0
263,577543660,577543693,33, 0
264,577543930,577543964,34, 0
265,577544201,577544234,33, 0
266,577544471,577544504,33, 0
267,577544742,577544775,33, 0
268,577545015,577545047,32, 0
269,577545285,577545318,33, 0
270,577545556,577545589,33, 0
271,577545826,577545858,32, 0
272,577546096,577546130,34, 0
273,577546367,577546400,33, 0
274,577546637,577546670,33, 0
275,577546909,577546940,31, 0
276,577554108,577554149,41, 0
277,577554425,577554457,32, 0
278,577554701,577554733,32, 0
279,577554970,577555002,32, 0
280,577555238,577555269,31, 0
281,577555505,577555538,33, 0
282,577555773,577555806,33, 0
283,577556044,577556075,31, 0
284,577556312,577556343,31, 0
285,577556580,577556613,33, 0
286,577556848,577556880,32, 0
287,577557118,577557150,32, 0
288,577557386,577557418,32, 0
289,577557655,577557686,31, 0
290,577557922,577557955,33, 0
291,577558190,577558222,32, 0
292,577558459,577558491,32, 0
293,577558726,577558759,33, 0
294,577558996,577559027,31, 0
295,577559263,577559296,33, 0
296,577559533,577559565,32, 0
297,577559801,577559832,31, 0
298,577560069,577560102,33, 0
299,577560337,577560370,33, 0
300,577560605,577560639,34, 0
301,577560873,577560906,33, 0
302,577561143,577561176,33, 0
303,577561411,577561443,32, 0
304,577561679,577561712,33, 0
305,577561947,577561979,32, 0
306,577562217,577562251,34, 0
307,577562486,577562518,32, 0
308,577562755,577562788,33, 0
309,577563026,577563059,33, 0
310,577563296,577563329,33, 0
311,577563564,577563596,32, 0
312,577563834,577563867,33, 0
313,577564105,577564137,32, 0
314,577564376,577564409,33, 0
315,577564645,577564678,33, 0
316,577564915,577564947,32, 0
317,577565183,577565216,33, 0
318,577565451,577565484,33, 0
319,577565722,577565753,31, 0
320,577565990,577566023,33, 0
321,577566259,577566292,33, 0
322,577566527,577566560,33, 0
323,577566796,577566828,32, 0
324,577567065,577567098,33, 0
325,577567358,577567390,32, 0
326,577567627,577567658,31, 0
327,577567895,577567927,32, 0
328,577568163,577568195,32, 0
329,577568432,577568465,33, 0
330,577568703,577568733,30, 0
331,577568970,577569002,32, 0
332,577569238,577569271,33, 0
333,577569509,577569541,32, 0
334,577569777,577569809,32, 0
335,577570046,577570078,32, 0
336,577570315,577570347,32, 0
337,577570583,577570615,32, 0
338,577570852,577570883,31, 0
339,577571121,577571153,32, 0
340,577571389,577571422,33, 0
341,577571661,577571693,32, 0
342,577571929,577571962,33, 0
343,577572198,577572231,33, 0
344,577572469,577572501,32, 0
345,577572739,577572771,32, 0
346,577573008,577573041,33, 0
347,577573278,577573311,33, 0
348,577573548,577573582,34, 0
349,577573817,577573850,33, 0
350,577574087,577574119,32, 0
351,577574357,577574391,34, 0
352,577574627,577574660,33, 0
353,577574897,577574929,32, 0
354,577575168,577575201,33, 0
355,577575438,577575470,32, 0
356,577575705,577575739,34, 0
357,577575975,577576007,32, 0
358,577576245,577576277,32, 0
359,577576515,577576547,32, 0
360,577576783,577576816,33, 0
361,577577054,577577086,32, 0
362,577577323,577577355,32, 0
363,577577591,577577625,34, 0
364,577577862,577577895,33, 0
365,577578132,577578164,32, 0
366,577578402,577578436,34, 0
367,577578674,577578706,32, 0
368,577578944,577578977,33, 0
369,577579241,577579274,33, 0
370,577579511,577579544,33, 0
371,577579781,577579813,32, 0
372,577580048,577580082,34, 0
373,577580317,577580349,32, 0
374,577580587,577580618,31, 0
375,577580856,577580887,31, 0
376,577581126,577581159,33, 0
377,577581395,577581428,33, 0
378,577581663,577581697,34, 0
379,577581933,577581965,32, 0
380,577582201,577582235,34, 0
381,577582471,577582502,31, 0
382,577582740,577582773,33, 0
383,577583009,577583042,33, 0
384,577583279,577583313,34, 0
385,577583547,577583580,33, 0
386,577583819,577583851,32, 0
387,577584087,577584120,33, 0
388,577584358,577584391,33, 0
389,577584627,577584660,33, 0
390,577584905,577584938,33, 0
391,577585174,577585207,33, 0
392,577585444,577585476,32, 0
393,577585714,577585746,32, 0
394,577585982,577586014,32, 0
395,577586251,577586283,32, 0
396,577586519,577586551,32, 0
397,577586786,577586819,33, 0
398,577587056,577587089,33, 0
399,577587324,577587358,34, 0
400,577587612,577587645,33, 0
401,577587882,577587916,34, 0
402,577588151,577588183,32, 0
403,577588419,577588452,33, 0
404,577588689,577588721,32, 0
405,577588957,577588990,33, 0
406,577589225,577589257,32, 0
407,577589494,577589526,32, 0
408,577589762,577589795,33, 0
409,577590032,577590064,32, 0
410,577590299,577590332,33, 0
411,577590567,577590599,32, 0
412,577590835,577590868,33, 0
413,577595839,577595878,39, 0
414,577596126,577596157,31, 0
415,577596395,577596428,33, 0
416,577596664,577596696,32, 0
417,577596936,577596968,32, 0
418,577597205,577597237,32, 0
419,577597473,577597505,32, 0
420,577597743,577597775,32, 0
421,577598012,577598045,33, 0
422,577598281,577598313,32, 0
423,577598548,577598581,33, 0
424,577598818,577598851,33, 0
425,577599086,577599119,33, 0
426,577599356,577599389,33, 0
427,577599626,577599659,33, 0
428,577599896,577599928,32, 0
429,577600164,577600197,33, 0
430,577600434,577600466,32, 0
431,577600703,577600736,33, 0
432,577600972,577601005,33, 0
433,577601241,577601273,32, 0
434,577601510,577601541,31, 0
435,577601777,577601810,33, 0
436,577602049,577602082,33, 0
437,577602320,577602353,33, 0
438,577602590,577602622,32, 0
439,577602858,577602890,32, 0
440,577603127,577603158,31, 0
441,577603395,577603428,33, 0
442,577603664,577603697,33, 0
443,577603932,577603966,34, 0
444,577604201,577604234,33, 0
445,577604470,577604503,33, 0
446,577604740,577604773,33, 0
447,577605009,577605043,34, 0
448,577605278,577605311,33, 0
449,577605550,577605582,32, 0
450,577605818,577605851,33, 0
451,577606087,577606120,33, 0
452,577606357,577606389,32, 0
453,577606627,577606659,32, 0
454,577606896,577606929,33, 0
455,577607168,577607201,33, 0
456,577607437,577607470,33, 0
